WOS ID,First Name,Country,Country Code,Gender,Gender Probability,Publication Year,Author Type,Publication
WOS:000174718100007,Janice,England,GB,female,100.00%,2002,Corresponding,CLIN CHIM ACTA
WOS:000207062600010,Kyoungho,South Korea,KR,male,100.00%,2007,Corresponding,J NEUROCHEM
WOS:000207451700010,Elizabeth,United States of America,US,female,100.00%,2007,Corresponding,PLOS ONE
WOS:000207695900002,Joachim,United States of America,US,male,100.00%,2008,Corresponding,J BREATH RES
WOS:000207784200003,Beate,Germany,DE,female,99.00%,2009,Corresponding,BIOORG CHEM
WOS:000208153000002,Scott,United States of America,US,male,100.00%,2010,Corresponding,TRANSL NEUROSCI
WOS:000208226100012,Christoph,Switzerland,CH,male,100.00%,2004,Corresponding,NEURODEGENER DIS
WOS:000208317500005,KaiJuan,China,CN,unknown,0.00%,2004,Corresponding,WORLD J GASTROENTERO
WOS:000208334500001,Harald,Scotland,GB,male,100.00%,2010,Corresponding,BMC NEPHROL
WOS:000208615800018,JeanJacques,Switzerland,CH,male,100.00%,2011,Corresponding,J OCCUP MED TOXICOL
WOS:000208627100048,Ross,United States of America,US,male,100.00%,2010,Corresponding,GENOME MED
WOS:000208863500007,Rustam,Scotland,GB,male,99.00%,2011,Corresponding,FRONT MICROBIOL
WOS:000209022100006,Shunji,United States of America,US,male,100.00%,2010,Corresponding,J INHERIT METAB DIS
WOS:000209022100014,Francesco,Italy,IT,male,100.00%,2010,Corresponding,J INHERIT METAB DIS
WOS:000209022100056,Yannis,Greece,GR,male,100.00%,2010,Corresponding,J INHERIT METAB DIS
WOS:000209212900048,Theodore,United States of America,US,male,100.00%,2011,Corresponding,JOVE-J VIS EXP
WOS:000209222900047,Ye,United States of America,US,female,73.00%,2012,Corresponding,JOVE-J VIS EXP
WOS:000209223100044,Hubert,Germany,DE,male,100.00%,2012,Corresponding,JOVE-J VIS EXP
WOS:000209228100060,Aaron,United States of America,US,male,100.00%,2013,Corresponding,JOVE-J VIS EXP
WOS:000209635900008,Jinyoung,South Korea,KR,female,55.00%,2013,Corresponding,NITRIC OXIDE-BIOL CH
WOS:000209649500010,Trichur,India,IN,male,100.00%,2013,Corresponding,CLIN PROTEOM
WOS:000209649500015,Phedias,Canada,CA,unknown,0.00%,2013,Corresponding,CLIN PROTEOM
WOS:000209649500016,Nikhat,Pakistan,PK,female,100.00%,2013,Corresponding,CLIN PROTEOM
WOS:000209649600001,Subramanian,India,IN,male,98.00%,2014,Corresponding,CLIN PROTEOM
WOS:000209649600005,Vathany,Canada,CA,unknown,0.00%,2014,Corresponding,CLIN PROTEOM
WOS:000209649600009,Hugo,Portugal,PT,male,100.00%,2014,Corresponding,CLIN PROTEOM
WOS:000209649600018,Fuquan,China,CN,male,100.00%,2014,Corresponding,CLIN PROTEOM
WOS:000209649600024,Amy,United States of America,US,female,100.00%,2014,Corresponding,CLIN PROTEOM
WOS:000209649600042,Subramanian,India,IN,male,98.00%,2014,Corresponding,CLIN PROTEOM
