WOS ID,First Name,Country,Country Code,Gender,Gender Probability,Publication Year,Author Type
WOS:000207784200003,Beate,Germany,DE,female,99.00%,2009,Corresponding
WOS:000208863500007,Rustam,Scotland,GB,male,99.00%,2011,Corresponding
WOS:000209649600001,Subramanian,India,IN,male,98.00%,2014,Corresponding
WOS:000209649600042,Subramanian,India,IN,male,98.00%,2014,Corresponding
WOS:000230225300007,Margriet,Netherlands,NL,female,98.00%,2005,Corresponding
WOS:000237773500023,Radoslav,United States of America,US,male,99.00%,2006,Corresponding
WOS:000238548500010,Samir,Belgium,BE,male,99.00%,2006,Corresponding
WOS:000238725800013,Sascha,Germany,DE,male,99.00%,2006,Corresponding
WOS:000238725800022,Cristina,Spain,ES,female,99.00%,2006,Corresponding
WOS:000239045500018,Heidrun,Germany,DE,female,97.00%,2006,Corresponding
WOS:000239111400011,Liang,China,CN,male,98.00%,2006,Corresponding
WOS:000239348000005,Wulf,Germany,DE,male,99.00%,2006,Corresponding
WOS:000240712700007,Pierfrancesco,Italy,IT,male,99.00%,2006,Corresponding
WOS:000241099200005,Terry,United States of America,US,male,94.00%,2006,Corresponding
WOS:000241755400030,Jens,Canada,CA,male,99.00%,2006,Corresponding
WOS:000241822300043,Antonia,United States of America,US,female,98.00%,2006,Corresponding
WOS:000242120600026,Stefanie,Germany,DE,female,99.00%,2006,Corresponding
WOS:000242198100019,Bong,South Korea,KR,male,94.00%,2006,Corresponding
WOS:000242328300008,Antonia,United States of America,US,female,98.00%,2006,Corresponding
WOS:000242374800019,Sabine,England,GB,female,99.00%,2006,Corresponding
WOS:000242879000015,Colette,France,FR,female,99.00%,2006,Corresponding
WOS:000242903400010,Ashraf,Egypt,EG,male,99.00%,2007,Corresponding
WOS:000242968000044,Rawi,Netherlands,NL,male,95.00%,2007,Corresponding
WOS:000243412900012,Sandro,Italy,IT,male,99.00%,2007,Corresponding
WOS:000243711300018,Gwang,South Korea,KR,male,96.00%,2007,Corresponding
WOS:000243762900005,Arndt,Germany,DE,male,99.00%,2007,Corresponding
WOS:000243885200003,Bing,Canada,CA,male,99.00%,2006,Corresponding
WOS:000243927900044,Fernando,Spain,ES,male,99.00%,2007,Corresponding
WOS:000243957700016,Arzu,Netherlands,NL,female,99.00%,2007,Corresponding
WOS:000244183100001,Sumalee,Thailand,TH,female,98.00%,2007,Corresponding
WOS:000244430600006,Sabine,England,GB,female,99.00%,2007,Corresponding
WOS:000244638400012,Mingliang,China,CN,male,95.00%,2007,Corresponding
WOS:000244768400009,Raymonde,France,FR,female,99.00%,2007,Corresponding
WOS:000244941200028,Srinivasa,United States of America,US,male,99.00%,2007,Corresponding
WOS:000245104100034,Luis,Spain,ES,male,99.00%,2007,Corresponding
WOS:000245323200002,Dunja,Germany,DE,female,96.00%,2007,Corresponding
WOS:000245512300015,Hirohito,Japan,JP,male,98.00%,2007,Corresponding
WOS:000245640400016,Minna,Finland,FI,female,97.00%,2007,Corresponding
WOS:000246469800001,Nelson,Switzerland,CH,male,99.00%,2006,Corresponding
WOS:000246615400007,Hassan,Germany,DE,male,99.00%,2007,Corresponding
WOS:000246635600015,Cornelia,Germany,DE,female,99.00%,2007,Corresponding
WOS:000247166800014,Huub,Netherlands,NL,male,99.00%,2007,Corresponding
WOS:000247407400019,Pernilla,Sweden,SE,female,99.00%,2007,Corresponding
WOS:000247489100008,Connie,Netherlands,NL,female,99.00%,2007,Corresponding
WOS:000247558000013,Terence,China,CN,male,99.00%,2007,Corresponding
WOS:000247704200003,Antonia,Greece,GR,female,98.00%,2007,Corresponding
WOS:000248199900009,Frode,Norway,NO,male,99.00%,2007,Corresponding
WOS:000248200000005,Antonia,United States of America,US,female,98.00%,2007,Corresponding
WOS:000248240000012,Julie,France,FR,female,98.00%,2007,Corresponding
WOS:000249193100012,Hassan,Germany,DE,male,99.00%,2007,Corresponding
WOS:000250306400016,Asao,Japan,JP,male,96.00%,2007,Corresponding
WOS:000251022600006,Connie,Netherlands,NL,female,99.00%,2007,Corresponding
WOS:000251404200009,Federica,Italy,IT,female,99.00%,2007,Corresponding
WOS:000251664400007,Ricardo,Spain,ES,male,99.00%,2007,Corresponding
WOS:000251807800004,Jianjun,China,CN,male,98.00%,2007,Corresponding
WOS:000252851000014,Loreto,Italy,IT,male,95.00%,2008,Corresponding
WOS:000252851000016,Sevgi,Turkey,TR,female,96.00%,2008,Corresponding
WOS:000253417300006,Anna,Scotland,GB,female,99.00%,2008,Corresponding
WOS:000253570400014,Dietrich,United States of America,US,male,95.00%,2008,Corresponding
WOS:000253925900013,JeanPierre,France,FR,male,99.00%,2008,Corresponding
WOS:000254570800009,Fred,Belgium,BE,male,97.00%,2008,Corresponding
WOS:000254593500033,Jasna,Germany,DE,female,98.00%,2008,Corresponding
WOS:000254682400002,Melanie,Switzerland,CH,female,99.00%,2008,Corresponding
WOS:000254850900002,Liang,China,CN,male,98.00%,2007,Corresponding
WOS:000254874400011,Maribel,Spain,ES,female,99.00%,2008,Corresponding
WOS:000255314300005,Theo,Netherlands,NL,male,99.00%,2008,Corresponding
WOS:000255352400004,Yannik,France,FR,male,98.00%,2008,Corresponding
WOS:000255362300010,Aldo,Italy,IT,male,99.00%,2008,Corresponding
WOS:000255742700005,Liang,China,CN,male,98.00%,2008,Corresponding
